District,Total_Population,Total_Pop_Citizenship,US_Born_Citizen,US_Territory_Born_Citizen,US_Born_Abroad_Citizen,Naturalized_Citizen,Non_Citizen,Total_Pop_Birth,Native_Born,Foreign_Born,Total_Foreign_Born,Entered_2010_Later,Entered_2000_2009,Entered_Before_2000,Pop_5Years_Over,English_Only,Spanish_Speaker,Indo_European_Lang,Asian_Pacific_Lang,Other_Languages,White_Alone,Black_Alone,Native_American_Alone,Asian_Alone,Pacific_Islander_Alone,Other_Race_Alone,Two_Or_More_Races,Hispanic_Latino,Total_Male,Male_Under_5,Male_5_9,Male_10_14,Male_15_17,Male_18_19,Male_20,Male_21,Male_22_24,Male_25_29,Male_30_34,Male_35_39,Male_40_44,Male_45_49,Male_50_54,Male_55_59,Male_60_61,Male_62_64,Male_65_66,Male_67_69,Male_70_74,Male_75_79,Male_80_84,Male_85_Over,Total_Female,Female_Under_5,Female_5_9,Female_10_14,Female_15_17,Female_18_19,Female_20,Female_21,Female_22_24,Female_25_29,Female_30_34,Female_35_39,Female_40_44,Female_45_49,Female_50_54,Female_55_59,Female_60_61,Female_62_64,Female_65_66,Female_67_69,Female_70_74,Female_75_79,Female_80_84,Female_85_Over,Median_Household_Income,Total_Households_Income,Income_Less_10000,Income_10000_14999,Income_15000_19999,Income_20000_24999,Income_25000_29999,Income_30000_34999,Income_35000_39999,Income_40000_44999,Income_45000_49999,Income_50000_59999,Income_60000_74999,Income_75000_99999,Income_100000_124999,Income_125000_149999,Income_150000_199999,Income_200000_Plus,Total_Pop_Poverty,Below_Poverty_Level,Pop_25_Over,No_Schooling,Nursery_School,Kindergarten,Grade_1,Grade_2,Grade_3,Grade_4,Grade_5,Grade_6,Grade_7,Grade_8,Grade_9,Grade_10,Grade_11,Grade_12_No_Diploma,High_School_Diploma,GED,Some_College_Less_1yr,Some_College_1yr_Plus,Associates_Degree,Bachelors_Degree,Masters_Degree,Professional_Degree,Doctorate_Degree,Total_Households,Family_Households,Married_Couple_Family,Other_Family,Nonfamily_Households,Living_Alone,Not_Living_Alone,In_Labor_Force,Civilian_Labor_Force,Employed,Unemployed,Total_Housing_Units,Owner_Occupied,Renter_Occupied,Workers_16_Over,Commute_Car,Commute_Public_Transit,Commute_Bicycle,Commute_Walk,Work_From_Home,Total_Households_Internet,Has_Internet,No_Internet,Year,Dist_clean
"Congressional District 12 (114th Congress), Illinois: Summary level: 500, state:17> congressional district:12",701698,701698,681965,363,5106,7232,7032,701698,687434,14264,19733,2725,4212,838,,,,,,,553900,117807,967,7691,129,4746,16458,24148,344942,21573,23706,20299,12502,10000,4879,5443,15330,24249,22473,22113,21276,22689,25621,27542,7445,11463,6130,9354,12016,7940,5973,4926,356756,20249,22141,21523,13497,9276,4272,5880,13614,23010,22687,19057,22153,21744,28026,24700,9089,13466,7414,10070,14454,11255,9935,9244,44940,273446,29825,16674,16569,15582,15077,15278,14789,13055,10544,21010,25576,32983,20907,10615,9292,5670,678819,130391,477514,3825,113,107,399,0,330,165,599,1141,930,7702,7382,10342,14253,7124,123343,30920,37232,82831,48679,60255,31415,5102,3325,273446,172317,122889,49428,11132,38296,101129,328538,325203,299712,25491,273446,180140,93306,297472,268744,8475,351,6366,10371,273446,183963,9066,2014,12
"Congressional District 15 (114th Congress), Illinois: Summary level: 500, state:17> congressional district:15",705504,705504,690536,163,3723,5474,5608,705504,694422,11082,14968,1747,3454,1029,,,,,,,657420,30309,1571,4373,496,2608,8727,17191,354656,21411,22827,24555,13777,9555,4815,5024,13547,22143,22099,20326,22452,22594,26330,25971,9508,13357,7591,10368,13118,10764,7011,5513,350848,19340,19326,23474,14176,9142,4322,5134,12775,18780,21269,20861,18388,20754,25373,27101,9519,12971,9237,9749,15191,12201,9631,12134,48615,274400,20844,16289,16430,16078,14656,16482,13852,12892,13606,25236,30334,33217,19427,9120,10272,5665,676618,102509,482304,3158,30,0,112,78,571,39,442,1223,1053,13127,5059,11337,10859,7157,141501,31422,42092,71229,53831,59820,23731,2529,1904,274400,181872,138096,43776,14650,29126,92528,343478,343345,316851,26494,274400,203266,71134,310340,284025,2193,1116,8508,11975,274400,190389,17014,2014,15
"Congressional District 17 (114th Congress), Illinois: Summary level: 500, state:17> congressional district:17",701014,701014,660720,1871,3360,14807,20256,701014,665951,35063,40294,5520,11398,5156,,,,,,,572850,77981,1634,7575,274,18583,22117,64773,346308,21819,25152,22251,14481,10593,5823,5166,13033,19929,21876,21134,21460,21470,22698,22676,9757,13840,7942,9558,14112,8749,7645,5144,354706,21236,21007,20528,13278,10377,4806,5727,12318,21518,19823,21266,21028,21260,24216,25035,9526,13909,8172,11715,15528,11783,9865,10785,44735,280965,25557,17006,17481,19657,17941,15705,15214,12571,14683,24183,28076,32457,19015,7760,8418,5241,675662,122839,473419,4680,57,34,201,182,417,260,669,2880,1451,8562,6977,11092,12981,8637,137057,28052,43350,74402,44402,57361,22127,5263,2325,280965,174216,122161,52055,13678,38377,106749,341981,341678,312079,29599,280965,185192,95773,307037,277328,5511,1762,8419,10071,280965,194532,9980,2014,17
"Congressional District 1 (114th Congress), Illinois: Summary level: 500, state:17> congressional district:01",717741,717741,667970,0,2710,24112,22949,717741,670680,47061,49771,6258,10930,6316,,,,,,,294595,366890,1311,11326,159,28719,14741,71357,338726,22190,21944,25737,16191,9380,7969,5285,13938,23723,20557,19239,21053,21223,25793,24209,7689,10837,6495,7319,10529,7618,5029,4779,379015,20268,22137,21557,16439,11931,5023,4217,15889,25765,23133,21719,23836,23729,28456,26043,12591,12992,8858,10750,14629,9824,9190,10039,48557,265021,29800,15749,13865,17461,12248,14069,11787,10961,9502,21415,24664,31239,17898,12680,12773,8910,706434,142235,477646,4080,0,38,273,991,557,886,339,4041,700,6289,3230,9912,12643,9821,120473,16369,30589,83274,40682,77768,41082,7421,6188,265021,167021,92796,74225,18065,56160,98000,352410,352309,303773,48536,265021,157573,107448,295279,221372,49515,729,10264,10628,265021,176524,4797,2014,1
"Congressional District 3 (114th Congress), Illinois: Summary level: 500, state:17> congressional district:03",730269,730269,564571,4008,4605,84669,72416,730269,573184,157085,165698,10241,38680,25462,,,,,,,560358,30458,2240,33988,50,89349,13826,227032,357355,23507,24305,24017,15405,9704,4361,4931,15047,22948,26305,24071,26077,24873,23863,26269,8205,11374,6118,9470,10583,6547,5220,4155,372914,23226,23883,23954,14853,11271,4247,4498,15713,24357,22598,27463,22700,24416,26071,25673,8739,11650,7998,10294,12757,9014,7413,10126,60637,245112,12940,9270,10315,12807,11857,13062,10482,11024,9068,19949,27676,31989,23348,14059,14747,12519,719096,91794,487347,8295,38,0,755,740,2335,1883,2621,10601,2247,9369,6455,8346,8671,11851,132273,17992,27897,70457,36598,80938,35385,6475,5125,245112,174503,128013,46490,15265,31225,70609,371594,371466,341079,30387,245112,181768,63344,334233,280551,33553,1519,6836,10222,245112,186133,3763,2014,3
"Congressional District 4 (114th Congress), Illinois: Summary level: 500, state:17> congressional district:04",725616,725616,451535,19589,7073,82699,164720,725616,478197,247419,274081,15479,60247,62399,,,,,,,424266,34949,3337,24366,329,219819,18550,512282,366843,27473,27928,25957,14782,11175,4685,5662,17622,34979,35198,29554,25142,22534,20845,19209,7660,8165,4987,5535,6457,5120,3188,2986,358773,26310,30485,25479,15684,9181,5228,4838,15708,31845,30798,27845,23809,20445,20114,17823,8129,9310,5402,6104,7439,7060,4580,5157,43947,223752,17432,12251,14690,17044,13098,14492,12806,12137,9105,18682,23322,22123,15989,7971,7487,5123,719860,159223,457419,14455,64,0,1282,2602,6115,5102,4062,38125,4090,15759,15546,11641,11571,11092,102748,16899,16524,56231,24739,68530,22264,4240,3738,223752,153271,94770,58501,19750,38751,70481,372769,372555,338812,33743,223752,99708,124044,333292,230632,70183,6223,11485,9405,223752,149732,4211,2014,4
"Congressional District 5 (114th Congress), Illinois: Summary level: 500, state:17> congressional district:05",717666,717666,556711,4650,6733,84938,64634,717666,568094,149572,160955,13835,39927,15957,668646.0,451784.0,98255.0,2486.0,202.0,4740.0,585330,19244,1103,46674,45,42256,23014,136482,352720,25467,18271,17836,8854,6614,3234,4040,15976,41320,35684,28570,24694,24020,23476,21655,6486,9859,4923,7362,9023,5483,5574,4299,364946,23553,18873,16230,9087,6266,4115,4298,19923,41333,38423,30396,21553,23345,20856,21362,7635,9481,5462,7760,9965,8392,8833,7805,71833,294812,14134,9849,12125,12414,10329,9777,10482,11276,10513,22083,29419,37474,29684,19137,23221,32895,706823,73426,515029,6171,0,0,0,34,733,480,1794,6939,1163,6267,3431,4880,3828,8473,85521,9186,21947,56701,24801,167261,73736,22541,9142,294812,155932,122033,33899,10662,23237,138880,434335,434270,411098,23172,294812,160200,134612,403087,242059,109898,7567,15970,21918,294812,242552,4223,2014,5
"Congressional District 6 (114th Congress), Illinois: Summary level: 500, state:17> congressional district:06",734700,734700,615837,1087,6450,68281,43045,734700,623374,111326,118863,9992,27102,9456,695855.0,550964.0,48466.0,1326.0,21.0,4371.0,613230,20728,991,70142,144,17108,12357,69549,363479,20255,24885,29432,17410,9719,3474,3323,12625,19004,22403,21692,24645,28054,30024,28025,10392,12480,8680,8170,12909,6307,4908,4663,371221,18590,23664,23449,15429,9152,3478,3250,12625,19873,22678,21348,24465,28321,35672,28886,11206,12259,8014,9248,14290,10492,7312,7520,88574,265609,7555,4873,6169,7127,6684,9578,8056,9645,9571,15788,25879,35731,32756,21326,26524,38347,725399,41522,503940,3044,0,0,145,105,1111,228,813,2396,494,3568,2315,4086,3331,6692,78959,7769,30679,63998,38076,155077,77422,15032,8600,265609,195592,167080,28512,8777,19735,70017,404159,404081,384376,19705,265609,211921,53688,378574,322502,24943,1095,4690,22868,265609,234564,3333,2014,6
"Congressional District 7 (114th Congress), Illinois: Summary level: 500, state:17> congressional district:07",727478,727478,616880,3957,7774,43774,55093,727478,628611,98867,110598,17924,25755,12777,679965.0,529667.0,86369.0,2422.0,277.0,1231.0,243309,361907,1434,53829,351,52007,14641,107665,349002,23379,21792,21077,12364,9772,6747,7084,18239,35780,33605,25533,21408,21191,20420,19810,7037,9379,6677,7076,8842,5711,3752,2327,378476,24134,21005,20831,9761,10899,5803,4797,22084,36882,36182,24268,24808,22746,22348,22806,8154,11660,7583,9228,11130,8576,6079,6712,51311,286948,37766,18942,16624,14013,12750,11150,9422,11047,8302,18919,23946,30255,21765,12454,16602,22991,701411,175385,487710,6387,40,164,240,359,1143,1258,1362,6791,1770,9036,7796,13662,18749,8962,87747,14318,20655,68977,26351,103260,53080,24097,11506,286948,149759,79551,70208,14660,55548,137189,373037,372723,326080,46643,286948,120948,166000,319777,172071,79075,4059,40270,16447,286948,201801,4280,2014,7
"Congressional District 8 (114th Congress), Illinois: Summary level: 500, state:17> congressional district:08",725320,725320,504057,2882,7164,93878,117339,725320,514103,211217,221263,26134,57206,35924,676741.0,380407.0,161374.0,691.0,66.0,6352.0,493417,29460,3370,96353,548,84773,17399,207517,362678,25338,22966,25519,15624,8699,5424,4594,15943,26971,29469,29514,25270,24065,24906,23026,8630,10567,6146,6843,10049,5948,4565,2602,362642,23241,22982,24342,13178,7326,3575,5065,11641,23763,28700,24407,26597,25257,25588,24357,9645,11606,5789,10320,13194,8323,6996,6750,64560,253238,9593,7744,9035,9807,11292,11245,11141,13357,12671,20982,28559,41192,24995,14434,15847,11344,720530,73080,489863,9682,53,172,300,986,1802,991,933,13952,1792,5977,7961,6600,7370,13306,109746,11896,29863,68153,38878,105757,43796,6390,3507,253238,177394,135636,41758,12752,29006,75844,406691,406691,376060,30631,253238,167653,85585,369680,335902,12355,1066,4933,12355,253238,210683,2691,2014,8
"Congressional District 9 (114th Congress), Illinois: Summary level: 500, state:17> congressional district:09",710295,710295,517718,1688,6967,116260,67662,710295,526373,183922,192577,24473,48355,14413,670967.0,436802.0,59988.0,2692.0,1049.0,3345.0,514862,65233,792,94167,201,17813,17227,76977,345265,19822,20494,23757,12052,7935,4768,3551,11666,26970,24158,25180,24059,24827,25501,23545,7662,12840,6940,8455,11173,7691,5551,6668,365030,19506,20167,19090,12714,7850,3927,3525,13766,27064,24981,25649,23855,23728,26112,22759,9506,14365,7167,10231,14374,13381,8548,12765,64804,280810,19836,11588,13936,13456,10046,11164,12055,10746,9332,20572,22559,36166,26452,15653,19423,27826,690725,75876,505705,6841,64,0,230,315,277,641,689,4417,1000,4700,2732,6879,4628,6037,82009,9053,23278,58066,26845,152893,81095,22456,10560,280810,163055,130601,32454,9500,22954,117755,380868,380560,355184,25376,280810,168106,112704,347938,228529,75443,3960,14193,21582,280810,229722,2567,2014,9
"Congressional District 10 (114th Congress), Illinois: Summary level: 500, state:17> congressional district:10",711698,711698,525830,3091,6158,90723,85896,711698,535079,176619,185868,18360,45787,23158,667019.0,424899.0,131680.0,2157.0,636.0,1348.0,549483,46338,1411,71393,998,23779,18296,165373,352997,22722,23204,29398,15499,12177,4900,5371,14047,22097,21159,19834,27102,23435,25609,24672,9120,11071,6353,8384,9773,6619,4440,6011,358701,21957,23551,26486,15362,9892,3471,3842,12912,19842,21627,21427,26192,25978,27175,25661,8547,11778,6734,8367,12387,8171,6664,10678,74174,244599,11682,7617,9068,10155,7785,8634,7986,9846,9444,18368,22709,29819,23092,15369,22294,30731,690760,67650,466907,6458,0,105,0,598,1105,1009,1115,8292,1653,5820,6255,8822,5382,6396,86996,15478,22441,56206,27453,117718,61051,17344,9210,244599,177677,140747,36930,10138,26792,66922,374562,363593,341097,22496,244599,172120,72479,346777,289613,18120,639,13030,21612,244599,206915,3370,2014,10
"Congressional District 11 (114th Congress), Illinois: Summary level: 500, state:17> congressional district:11",712657,712657,574317,3999,4039,59715,70587,712657,582355,130302,138340,8881,40164,21176,,,,,,,452899,85268,2120,48924,0,98627,24819,189727,346260,24586,27001,25612,17503,10032,5222,4631,15317,22564,24289,28832,22570,24235,24708,20571,7796,10880,5329,5432,7595,5063,3537,2955,366397,24939,30257,26227,15084,9084,5009,5781,15123,23635,25470,28282,27522,24147,24409,23491,8675,10071,5953,6777,9466,6595,4935,5465,67898,236716,10173,6597,8343,9387,8895,10385,10261,10613,10618,18096,24825,33048,27573,16790,16858,14254,701878,77951,451249,5104,0,23,0,484,2208,1330,1602,10129,2175,6277,8835,5675,6512,11155,90901,14595,28577,63783,34112,94196,50411,7556,5609,236716,172998,130617,42381,11103,31278,63718,382978,382888,356893,25995,236716,166564,70152,349008,311846,13938,536,4417,15039,236716,197080,3815,2014,11
"Congressional District 13 (114th Congress), Illinois: Summary level: 500, state:17> congressional district:13",715374,715374,676000,1398,4587,11373,22016,715374,681985,33389,39374,11766,10355,1618,,,,,,,581452,83759,1325,25075,483,4526,18754,24401,348182,20142,20390,21173,12174,14996,9110,8952,21663,23677,23995,19518,21605,18976,22434,21980,8679,11822,7459,8344,11765,9109,5477,4742,367192,19659,20911,20287,12460,16571,8335,10118,20296,23055,22057,19573,22207,21345,22818,25674,8171,12905,9166,8896,13005,11376,8085,10222,47026,285134,28087,17218,15030,17602,15402,16053,13839,13393,13538,21405,28888,35855,19651,11317,9735,8121,673352,128632,458137,3500,70,0,0,31,120,277,292,1207,788,6638,5469,7862,9215,5248,117888,23615,36203,64787,38266,83920,37784,6316,8641,285134,165450,122088,43362,11610,31752,119684,365636,365366,340076,25290,285134,182145,102989,334286,285463,14792,3282,14170,13925,285134,212745,9362,2014,13
"Congressional District 14 (114th Congress), Illinois: Summary level: 500, state:17> congressional district:14",725522,725522,650571,1439,4368,40376,28768,725522,656378,69144,74951,4807,17368,9349,,,,,,,634856,21684,672,33777,0,19500,15033,86274,361138,20008,25599,30593,19985,10412,4372,5203,12463,17417,19333,22464,27668,29931,29708,25619,8419,12003,7917,7679,10694,7962,3158,2531,364384,20181,26940,27290,18054,7508,4765,4921,9919,16024,20505,22610,28774,30651,27515,27931,9498,10361,7139,10131,13158,7455,5597,7457,86124,252091,7647,5323,7243,8242,7134,9368,7412,8178,7054,17381,24746,38350,32899,20408,27889,22817,720614,41369,477309,3232,0,72,264,151,437,644,710,3479,314,3757,2840,3745,4768,5987,97732,12079,34428,73384,41853,120973,51634,8433,6393,252091,188890,157013,31877,11027,20850,63201,396306,396172,375522,20650,252091,203537,48554,369322,325421,11829,769,3715,23418,252091,221169,6345,2014,14
"Congressional District 16 (114th Congress), Illinois: Summary level: 500, state:17> congressional district:16",699582,699582,661428,806,3367,16889,17092,699582,665601,33981,38154,5009,8389,4300,,,,,,,633351,27848,1056,10150,915,14312,11950,58526,344125,18943,21072,22673,14346,10126,4890,5515,14879,20616,21005,19982,21526,23790,26815,24287,9820,12699,7259,10930,12407,8934,5624,5987,355457,20173,20994,23463,15033,10366,5132,4918,13333,18785,20790,19678,20874,22159,27080,26068,9122,12728,8121,10893,14719,11109,9197,10722,54155,268332,17077,12777,13683,14601,10952,15161,12549,13582,12369,22967,28667,36031,24343,13564,12792,7217,678296,83167,473726,3894,0,139,0,373,477,198,987,1913,786,5476,5129,8177,10131,7304,139244,24025,44780,72451,44917,64496,29630,5820,3379,268332,177295,137117,40178,11451,28727,91037,359347,359053,328771,30282,268332,192945,75387,320887,296601,3378,1008,5329,11857,268332,207085,14299,2014,16
"Congressional District 18 (114th Congress), Illinois: Summary level: 500, state:17> congressional district:18",710629,710629,682371,147,3193,11252,13666,710629,685711,24918,28258,6085,8103,1774,,,,,,,649094,24218,919,18477,662,4663,12596,19063,354054,21280,21753,24311,14846,10599,4449,5193,15000,21429,22603,21386,21016,22262,26950,25257,10297,13252,7956,9899,12861,9428,6270,5757,356575,18309,20374,24317,12001,8331,4062,5576,14766,18943,22194,20485,22178,22905,26432,25112,9954,13474,8811,9747,15096,11551,9120,12837,58821,282923,14573,13353,12815,12110,13374,14798,13534,13215,11549,24747,32929,37412,26713,15904,14336,11561,688014,70713,485462,1472,153,79,261,0,109,86,123,540,652,4882,3588,6665,8019,5858,129456,19739,41867,63785,43044,101830,39927,7199,6128,282923,184523,150164,34359,10676,23683,98400,365306,364816,343998,20818,282923,212767,70156,339150,313915,1543,969,7566,11786,282923,215641,11965,2014,18
"Congressional District 2 (114th Congress), Illinois: Summary level: 500, state:17> congressional district:02",707817,707817,654620,1111,2914,25580,23592,707817,658645,49172,53197,3991,10637,7373,,,,,,,275773,393634,1742,5174,41,20391,11062,93169,331875,22820,21740,26933,15023,10202,4187,4680,14294,20018,21492,19323,20521,22665,25364,22461,8461,9327,7544,8262,9750,6550,5709,4549,375942,21520,24569,21341,17407,8390,4754,5758,15809,22594,22926,21435,25381,24550,29354,29330,9956,15362,8506,9969,11820,9759,7249,8203,45505,258513,31776,14811,16222,14125,11663,14429,12653,12331,10893,20516,24915,29533,19032,10944,8966,5704,697557,146773,468390,6520,0,0,130,434,961,975,1056,4899,2534,6602,5885,7720,12270,9956,122170,16510,35220,91413,36845,64969,33296,3963,4062,258513,167419,97926,69493,12632,56861,91094,345440,345097,291968,53129,258513,159102,99411,286972,234027,33394,570,6253,8904,258513,172348,7312,2014,2
"Congressional District 3 (115th Congress), Illinois: Summary level: 500, state:17> congressional district:03",720930,720930,560901,2917,5797,79672,71643,720930,569615,151315,160029,15417,37112,19795,,,,,,,529893,38014,2277,30281,170,104678,15617,238646,361574,21776,25887,27954,15848,9940,5068,3713,14523,25699,24634,23628,22010,26184,24864,25517,10666,12162,6623,9919,10486,5244,5574,3655,359356,22281,22520,26856,11703,8139,3276,3872,15310,23660,22143,23414,21018,23004,27210,23749,10834,13846,8230,10708,13550,9229,7332,7472,66270,244418,12548,8043,10306,11238,11300,12118,12151,10174,7081,15782,27111,34695,23131,15957,17701,15082,709207,73063,482264,9723,89,50,327,936,1578,891,1622,9284,2615,8447,5894,7847,8364,10670,130205,16463,29183,71049,37157,87308,32533,7010,3019,244418,171013,128456,42557,14630,27927,73405,364737,364688,338513,26175,244418,179263,65155,329230,273158,36243,1647,7942,7724,244418,205944,32615,2016,3
"Congressional District 5 (115th Congress), Illinois: Summary level: 500, state:17> congressional district:05",723373,723373,549170,6107,8644,90101,69351,723373,563921,159452,174203,29342,34408,15602,677059.0,446772.0,99935.0,3971.0,46.0,6665.0,593685,18194,1552,50171,406,34357,25008,139326,356625,24219,19303,18107,8156,6335,4621,5090,18109,39944,38166,31535,22528,23587,20348,20936,7256,9675,4737,8744,10205,5833,4583,4608,366748,22095,18136,15116,8358,6476,4663,3814,18537,44830,37694,28185,23373,22922,20302,19655,8684,12052,6938,9674,11247,8423,5775,9799,80269,297889,14890,8658,9194,11047,9180,10959,9311,9167,10842,20849,26633,39049,32726,17874,27942,39568,713243,58849,522238,7215,0,34,181,121,1267,502,1320,5359,963,6116,2319,3639,3415,8071,80496,10478,18221,56643,30279,174745,78361,24523,7970,297889,155918,123734,32184,11135,21049,141971,440619,440426,424109,16317,297889,163072,134817,417034,244617,118756,6441,16892,23862,297889,255767,34983,2016,5
