District, D, R, Winner, Total, Year
1, 245908, 69956, D, 326175, 2016
2, 236726, 58024, D, 303622, 2016
3, 157383, 113779, D, 284970, 2016
4, 172374, 27807, D, 310159, 2016
5, 229937, 78069, D, 284970, 2016
6, 177578, 152909, D, 353766, 2016
7, 271100, 10479, D, 310159, 2016
8, 148233, 92926, D, 255064, 2016
9, 238096, 84456, D, 339587, 2016
10, 178857, 94108, D, 288303, 2016
11, 164632, 99104, D, 279620, 2016
12, 126817, 173693, R, 315846, 2016
13, 141541, 159013, R, 319979, 2016
14, 153989, 167348, R, 343417, 2016
15, 78574, 226605, R, 320442, 2016
16, 119542, 173093, R, 311988, 2016
17, 133999, 136017, R, 287103, 2016
18, 104927, 210529, R, 347134, 2016
1, 246954, 85028, D, 336837, 2020
2, 236640, 65329, D, 306049, 2020
3, 175934, 138158, D, 319385, 2020
4, 184645, 43989, D, 233368, 2020
5, 267680, 101619, D, 376477, 2020
6, 226804, 176221, D, 411827, 2020
7, 274291, 41975, D, 233368, 2020
8, 171840, 115348, D, 292689, 2020
9, 269568, 107388, D, 383336, 2020
10, 207379, 110582, D, 323648, 2020
11, 195555, 115078, D, 316880, 2020
12, 137911, 184811, R, 329203, 2020
13, 158871, 170480, R, 337669, 2020
14, 195286, 203744, D, 407458, 2020
15, 88670, 246927, R, 341919, 2020
16, 140938, 197197, R, 345612, 2020
17, 146349, 151009, R, 303081, 2020
18, 146098, 218172, R, 370215, 2020